,Title,Geek Rating,Link,Min Player No.,Max Player No.,Weight,Designers,Categories,Mechanics,Reimplements,Reimplemented by
1881,Kingsport Festival,6.16,https://boardgamegeek.com/boardgame/154509/kingsport-festival,3.0,5.0,2.63,"['Andrea Chiarvesio', 'Gianluca Santopietro']","['Dice', 'Fantasy', 'Horror', 'Novel-based']","['Dice Rolling', 'Worker Placement', 'Worker Placement with Dice Workers']",['Kingsburg (2007)'],['Kingsport Festival: The Card Game (2017)']
1882,The Chameleon,6.159,https://boardgamegeek.com/boardgame/227072/chameleon,3.0,8.0,1.05,['Rikki Tahta'],"['Bluffing', 'Card Game', 'Deduction', 'Humor', 'Party Game', 'Word Game']","['Hidden Roles', 'Targeted Clues', 'Team-Based Game', 'Voting']",['Gooseberry (2016)'],['El portero Baldomero (2017)']
1883,Krazy Wordz: Erwachsenen Edition,6.158,https://boardgamegeek.com/boardgame/195372/krazy-wordz-erwachsenen-edition,3.0,7.0,1.08,"['Dirk Baumann', 'Thomas Odenhoven', 'Matthias Schmitt']","['Party Game', 'Word Game']",['Simultaneous Action Selection'],[],['Krazy Wordz (2016)']
1884,The Napoleonic Wars (Second Edition),6.158,https://boardgamegeek.com/boardgame/36399/napoleonic-wars-second-edition,2.0,5.0,3.39,['Mark McLaughlin'],"['Napoleonic', 'Wargame']","['Campaign / Battle Card Driven', 'Dice Rolling', 'Events', 'Point to Point Movement', 'Simulation']",['The Napoleonic Wars (2002)'],[]
1885,Dimension,6.158,https://boardgamegeek.com/boardgame/153318/dimension,1.0,4.0,1.31,['Lauge Luchau'],"['Puzzle', 'Real-time']",['Pattern Building'],[],[]
1886,Metro,6.158,https://boardgamegeek.com/boardgame/559/metro,2.0,6.0,1.69,['Dirk Henn'],['Trains'],"['Network and Route Building', 'Tile Placement']",[],['Cable Car (2009)']
1887,Kokoro: Avenue of the Kodama,6.157,https://boardgamegeek.com/boardgame/227758/kokoro-avenue-kodama,1.0,8.0,1.48,"['Eilif Svensson', 'Kristian Amundsen Østby']",['Transportation'],"['Bingo', 'Line Drawing', 'Network and Route Building', 'Paper-and-Pencil']",['Avenue (2016)'],[]
1888,Age of Conan: The Strategy Board Game,6.157,https://boardgamegeek.com/boardgame/27848/age-conan-strategy-board-game,2.0,4.0,3.28,"['Roberto Di Meglio', 'Marco Maggi', 'Francesco Nepitello']","['Fantasy', 'Fighting', 'Novel-based', 'Wargame']","['Dice Rolling', 'Variable Phase Order', 'Variable Player Powers']",[],[]
1889,Villa Paletti,6.157,https://boardgamegeek.com/boardgame/2596/villa-paletti,2.0,4.0,1.16,['Bill Payne'],"['Action / Dexterity', ""Children's Game"", 'Party Game']","['Dice Rolling', 'Pattern Building', 'Physical Removal', 'Stacking and Balancing']",[],['Palazzo Paletti (2002)']
1890,Chicken Cha Cha Cha,6.157,https://boardgamegeek.com/boardgame/3570/chicken-cha-cha-cha,2.0,4.0,1.12,['Klaus Zoch'],"['Animals', ""Children's Game"", 'Memory']",['Memory'],[],"['Maxi Zicke Zacke Hühnerkacke (2005)', 'Zicke & Zacke: Ran an die Federn (2013)']"
1891,Richard III: The Wars of the Roses,6.157,https://boardgamegeek.com/boardgame/25277/richard-iii-wars-roses,2.0,2.0,2.64,"['Tom Dalgliesh', 'Jerry Taylor']","['Civil War', 'Medieval', 'Wargame']","['Area Movement', 'Area-Impulse', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Hand Management', 'Secret Unit Deployment', 'Simultaneous Action Selection']",[],[]
1892,Ascension: Darkness Unleashed,6.157,https://boardgamegeek.com/boardgame/144864/ascension-darkness-unleashed,1.0,2.0,2.31,['Justin Gary'],"['Card Game', 'Fantasy']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management']",[],[]
1893,El Capitán,6.157,https://boardgamegeek.com/boardgame/29972/el-capitan,2.0,5.0,2.91,"['Wolfgang Kramer', 'Horst-Rainer Rösner']","['Economic', 'Renaissance', 'Travel']","['Area Majority / Influence', 'Point to Point Movement']",['Tycoon (1998)'],[]
1894,Time of Soccer,6.157,https://boardgamegeek.com/boardgame/166317/time-soccer,1.0,4.0,3.3,['Lipschitzz'],"['Economic', 'Sports']","['Dice Rolling', 'Set Collection', 'Simulation']",[],[]
1895,Illuminati,6.156,https://boardgamegeek.com/boardgame/28/illuminati,2.0,8.0,2.65,['Steve Jackson (I)'],"['Card Game', 'Humor', 'Negotiation', 'Political', 'Science Fiction']","['Card Drafting', 'Dice Rolling', 'Network and Route Building', 'Tile Placement', 'Variable Player Powers']",['Illuminati (1982)'],['Illuminati (Second Edition) (2018)']
1896,Imperium: Legends,6.156,https://boardgamegeek.com/boardgame/318182/imperium-legends,1.0,4.0,3.72,"['Nigel Buckle', 'Dávid Turczi']","['Card Game', 'Civilization']","['Deck, Bag, and Pool Building', 'End Game Bonuses', 'Hand Management', 'Market', 'Move Through Deck', 'Variable Set-up']",[],[]
1897,Helios,6.156,https://boardgamegeek.com/boardgame/154182/helios,2.0,4.0,2.87,"['Martin Kallenborn', 'Matthias Prinz']","['Mythology', 'Territory Building']","['Action Points', 'Tile Placement', 'Variable Phase Order']",[],[]
1898,Greed,6.155,https://boardgamegeek.com/boardgame/151247/greed,2.0,5.0,2.01,['Donald X. Vaccarino'],"['Card Game', 'Mafia']","['Card Drafting', 'Hand Management', 'Memory', 'Simultaneous Action Selection']",[],[]
1899,Bonaparte at Marengo,6.155,https://boardgamegeek.com/boardgame/15839/bonaparte-marengo,2.0,2.0,3.2,['Bowen Simmons'],"['Napoleonic', 'Wargame']","['Action Points', 'Area Movement', 'Secret Unit Deployment']",[],[]
1900,To Court the King,6.155,https://boardgamegeek.com/boardgame/21632/court-king,2.0,5.0,1.73,['Thomas Lehmann'],"['Dice', 'Medieval']","['Card Drafting', 'Dice Rolling', 'Pattern Building']",[],['Favor of the Pharaoh (2015)']
1901,King's Forge,6.154,https://boardgamegeek.com/boardgame/126996/kings-forge,2.0,4.0,2.28,['Nick Sibicky'],"['Dice', 'Fantasy', 'Industry / Manufacturing']","['Deck, Bag, and Pool Building', 'Dice Rolling', 'Pattern Building']",[],[]
1902,El Gaucho,6.154,https://boardgamegeek.com/boardgame/162823/el-gaucho,2.0,4.0,2.24,['Arve D. Fühler'],"['Animals', 'Farming']","['Dice Rolling', 'Set Collection', 'Worker Placement']",[],[]
1903,Monster Slaughter,6.154,https://boardgamegeek.com/boardgame/220632/monster-slaughter,2.0,5.0,2.13,['Henri Pym'],"['Horror', 'Humor', 'Miniatures']","['Action Points', 'Dice Rolling', 'Variable Player Powers']",[],[]
1904,Assyria,6.154,https://boardgamegeek.com/boardgame/43152/assyria,2.0,4.0,3.01,['Emanuele Ornella'],"['Ancient', 'Civilization']","['Auction/Bidding', 'Card Drafting', 'Hand Management', 'Hexagon Grid', 'Worker Placement']",[],[]
1905,Safranito,6.154,https://boardgamegeek.com/boardgame/66849/safranito,2.0,4.0,1.75,['Marco Teubner'],"['Action / Dexterity', 'Economic']",['Set Collection'],[],['Hibachi (2021)']
1906,Legends of Andor: The Last Hope,6.153,https://boardgamegeek.com/boardgame/198287/legends-andor-last-hope,2.0,4.0,3.22,['Michael Menzel'],"['Adventure', 'Fantasy', 'Puzzle']","['Area Movement', 'Cooperative Game', 'Dice Rolling', 'Variable Player Powers']",[],[]
1907,Powerboats,6.153,https://boardgamegeek.com/boardgame/38531/powerboats,2.0,6.0,1.69,['Corné van Moorsel'],"['Nautical', 'Racing', 'Sports']","['Dice Rolling', 'Modular Board', 'Race']",[],['Powerships (2018)']
1908,The Edge: Dawnfall,6.153,https://boardgamegeek.com/boardgame/207729/edge-dawnfall,1.0,4.0,3.0,"['Michał Oracz', 'Krzysztof Piskorski', 'Marcin Świerkot']","['Fantasy', 'Fighting', 'Miniatures', 'Science Fiction', 'Wargame']","['Area Majority / Influence', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Team-Based Game', 'Variable Player Powers']",[],[]
1909,Dungeons & Dragons: Conquest of Nerath Board Game,6.151,https://boardgamegeek.com/boardgame/92044/dungeons-dragons-conquest-nerath-board-game,2.0,4.0,2.63,"['Richard Baker', 'Mons Johnson', 'Peter Lee']","['Fantasy', 'Wargame']","['Dice Rolling', 'Team-Based Game']",[],[]
1910,Dungeon Alliance,6.151,https://boardgamegeek.com/boardgame/209660/dungeon-alliance,1.0,4.0,3.68,['Andrew Parks'],"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Action Points', 'Card Drafting', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Grid Movement', 'Hand Management', 'Modular Board', 'Tile Placement']",[],[]
1911,Dominations: Road to Civilization,6.15,https://boardgamegeek.com/boardgame/250881/dominations-road-civilization,2.0,4.0,3.61,"['Eric Dubus', 'Olivier Melison']",['Civilization'],"['Area Majority / Influence', 'Modular Board', 'Set Collection', 'Tech Trees / Tech Tracks', 'Tile Placement']",[],[]
1912,Tower of Babel,6.15,https://boardgamegeek.com/boardgame/15510/tower-babel,3.0,5.0,2.33,['Reiner Knizia'],"['Ancient', 'Mythology']","['Area Majority / Influence', 'Auction/Bidding', 'Hand Management', 'Set Collection']",[],['Planet Rush (2016)']
1913,The World of SMOG: Rise of Moloch,6.15,https://boardgamegeek.com/boardgame/209324/world-smog-rise-moloch,2.0,5.0,2.93,"['Fel Barros', 'Christophe Madura', 'Alex Olteanu', 'David Rakoto', 'Michael Shinall']","['Adventure', 'Horror', 'Miniatures', 'Post-Napoleonic', 'Science Fiction']","['Campaign / Battle Card Driven', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Team-Based Game', 'Variable Phase Order', 'Variable Player Powers']",[],[]
1914,Blockers!,6.149,https://boardgamegeek.com/boardgame/29073/blockers,2.0,5.0,1.7,['Kory Heath'],['Abstract Strategy'],"['Area Majority / Influence', 'Enclosure', 'Hand Management', 'Tile Placement']",[],['Blockers! The Card Game (2012)']
1915,The King's Guild,6.149,https://boardgamegeek.com/boardgame/206327/kings-guild,1.0,6.0,2.39,['Matthew Austin'],"['Fantasy', 'Medieval']","['Hand Management', 'Set Collection', 'Variable Player Powers']",[],[]
1916,Star Wars Customizable Card Game,6.149,https://boardgamegeek.com/boardgame/1270/star-wars-customizable-card-game,2.0,2.0,3.17,"['Tom Braunlich', 'Jerry Darcy', 'Chuck Kallenbach', 'Roland L. Tesh']","['Card Game', 'Collectible Components', 'Movies / TV / Radio theme', 'Science Fiction']","['Area Majority / Influence', 'Hand Management', 'Modular Board', 'Variable Player Powers']",[],['WARS Trading Card Game (2004)']
1917,Asante,6.148,https://boardgamegeek.com/boardgame/136056/asante,2.0,2.0,2.0,['Rüdiger Dorn'],"['Card Game', 'Economic']","['Action Points', 'Hand Management', 'Set Collection']",[],[]
1918,Dawn of the Zeds (Second edition),6.148,https://boardgamegeek.com/boardgame/144568/dawn-zeds-second-edition,1.0,1.0,3.17,['Hermann Luttmann'],"['Horror', 'Zombies']","['Campaign / Battle Card Driven', 'Dice Rolling', 'Point to Point Movement', 'Solo / Solitaire Game']",['Dawn of the Zeds (2011)'],['Dawn of the Zeds (Third Edition) (2016)']
1919,Here to Slay,6.148,https://boardgamegeek.com/boardgame/299252/here-slay,2.0,6.0,1.59,['Ramy Badie'],"['Animals', 'Card Game', 'Dice', 'Fantasy', 'Fighting']","['Action Points', 'Critical Hits and Failures', 'Dice Rolling', 'Hand Management', 'Interrupts', 'Role Playing', 'Set Collection', 'Take That', 'Turn Order: Progressive', 'Variable Player Powers']",[],[]
1920,Core Space,6.148,https://boardgamegeek.com/boardgame/240271/core-space,1.0,6.0,3.04,"['Wayne Abela', 'Colin Young']","['Miniatures', 'Science Fiction']","['Cooperative Game', 'Dice Rolling', 'Die Icon Resolution', 'Modular Board', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Semi-Cooperative Game', 'Variable Set-up']",[],[]
1921,Court of the Dead: Mourners Call,6.147,https://boardgamegeek.com/boardgame/248918/court-dead-mourners-call,2.0,5.0,2.94,['Patrick Marino'],"['Adventure', 'Fantasy', 'Miniatures', 'Mythology']","['Area Majority / Influence', 'Auction/Bidding', 'Card Drafting', 'Dice Rolling', 'Hand Management', 'Take That', 'Worker Placement']",[],[]
1922,The Great War,6.147,https://boardgamegeek.com/boardgame/173105/great-war,2.0,2.0,2.69,['Richard Borg'],"['Miniatures', 'Wargame', 'World War I']","['Campaign / Battle Card Driven', 'Dice Rolling', 'Hexagon Grid', 'Simulation']",[],[]
1923,"Machi Koro: Bright Lights, Big City",6.146,https://boardgamegeek.com/boardgame/205494/machi-koro-bright-lights-big-city,2.0,5.0,1.89,['Masao Suganuma'],"['Card Game', 'City Building', 'Dice']","['Card Drafting', 'Dice Rolling', 'Random Production']",['Machi Koro (2012)'],[]
1924,Master of Orion: The Board Game,6.146,https://boardgamegeek.com/boardgame/193322/master-orion-board-game,2.0,4.0,2.4,"['Ekaterina Gorn', 'Igor Sklyuev']","['Card Game', 'Economic', 'Science Fiction', 'Space Exploration', 'Video Game Theme']","['Action Points', 'Hand Management', 'Turn Order: Progressive', 'Variable Player Powers']",[],[]
1925,Avenue,6.145,https://boardgamegeek.com/boardgame/205045/avenue,1.0,1.0,1.4,"['Eilif Svensson', 'Kristian Amundsen Østby']","['Farming', 'Transportation']","['Connections', 'End Game Bonuses', 'Line Drawing', 'Network and Route Building', 'Paper-and-Pencil', 'Push Your Luck']",[],['Kokoro: Avenue of the Kodama (2017)']
1926,Ancient Terrible Things,6.145,https://boardgamegeek.com/boardgame/137031/ancient-terrible-things,2.0,4.0,2.05,['Simon McGregor'],"['Dice', 'Horror', 'Mythology']","['Dice Rolling', 'Hand Management', 'Push Your Luck', 'Re-rolling and Locking', 'Set Collection', 'Worker Placement']",[],"['Ancient Terrible Things (Third Edition) (2022)', 'Grim Heroes', 'Konja (2017)']"
1927,Dealt!,6.145,https://boardgamegeek.com/boardgame/243430/dealt,3.0,5.0,1.52,['Katja Stremmel'],['Card Game'],"['Hand Management', 'Ladder Climbing', 'Single Loser Game', 'Trick-taking']",[],[]
1928,River Dragons,6.145,https://boardgamegeek.com/boardgame/634/river-dragons,2.0,6.0,1.72,['Roberto Fraga'],['Abstract Strategy'],"['Action Queue', 'Point to Point Movement', 'Simultaneous Action Selection']",[],[]
1929,Constantinopolis,6.144,https://boardgamegeek.com/boardgame/31483/constantinopolis,2.0,5.0,3.12,['Giancarlo Fioretti'],"['City Building', 'Economic', 'Industry / Manufacturing', 'Nautical', 'Transportation']","['Auction/Bidding', 'Commodity Speculation']",[],[]
1930,On the Underground: London/Berlin,6.143,https://boardgamegeek.com/boardgame/281152/underground-londonberlin,2.0,5.0,2.36,['Sebastian Bleasdale'],"['Trains', 'Transportation']","['Action Points', 'Action Queue', 'Network and Route Building', 'Point to Point Movement']",['On the Underground (2006)'],['On the Underground: Paris/New York (2021)']
1931,The End of the Triumvirate,6.143,https://boardgamegeek.com/boardgame/20134/end-triumvirate,2.0,3.0,2.73,"['Johannes Ackva', 'Max Gabrian']",['Ancient'],"['Action Points', 'Area Majority / Influence', 'Area Movement', 'Pick-up and Deliver']",[],[]
1932,Fuji Flush,6.143,https://boardgamegeek.com/boardgame/203430/fuji-flush,3.0,8.0,1.05,['Friedemann Friese'],"['Card Game', 'Number']","['Hand Management', 'Take That']",['Doppelt und Dreifach (2016)'],[]
1933,Pick Picknic,6.143,https://boardgamegeek.com/boardgame/2569/pick-picknic,2.0,6.0,1.19,['Stefan Dorra'],"['Animals', 'Card Game', ""Children's Game"", 'Negotiation']","['Dice Rolling', 'Hand Management', 'Simultaneous Action Selection']",['Razzia (1992)'],[]
1934,Four Against Darkness,6.143,https://boardgamegeek.com/boardgame/197097/four-against-darkness,1.0,1.0,2.03,['Andrea Sfiligoi'],"['Adventure', 'Book', 'Exploration', 'Fantasy', 'Print & Play']","['Dice Rolling', 'Paper-and-Pencil', 'Solo / Solitaire Game']",[],"['Alone Against Fear (2020)', 'Four Against Mars (2020)', 'Four Against the Titans (2018)']"
1935,Friday the 13th,6.142,https://boardgamegeek.com/boardgame/17025/friday-13th,3.0,6.0,1.19,['Reiner Knizia'],['Card Game'],['Hand Management'],[],[]
1936,Quartermaster General: 1914,6.142,https://boardgamegeek.com/boardgame/208773/quartermaster-general-1914,2.0,5.0,2.57,['Ian Brody'],"['Wargame', 'World War I']","['Area Majority / Influence', 'Campaign / Battle Card Driven', 'Card Drafting', 'Chaining', 'Deck, Bag, and Pool Building', 'Hand Management', 'Team-Based Game']",['Quartermaster General (2014)'],[]
1937,Happy Pigs,6.142,https://boardgamegeek.com/boardgame/156138/happy-pigs,2.0,6.0,2.31,['Kuraki Mura'],"['Animals', 'Economic', 'Farming']",['Simultaneous Action Selection'],[],[]
1938,Sobek,6.141,https://boardgamegeek.com/boardgame/67185/sobek,2.0,4.0,1.85,['Bruno Cathala'],"['Ancient', 'Card Game']","['Auction: Dutch', 'Card Drafting', 'Hand Management', 'Memory', 'Set Collection']",[],"['Oliver Twist (2017)', 'Sobek: 2 Players (2021)']"
1939,Verräter,6.141,https://boardgamegeek.com/boardgame/72/verrater,3.0,4.0,2.57,['Marcel-André Casasola Merkle'],"['Card Game', 'Political']","['Card Drafting', 'Hand Management', 'Modular Board', 'Team-Based Game', 'Variable Player Powers']",[],['Meuterer (2000)']
1940,Unlock!: Secret Adventures – A Noside Story,6.141,https://boardgamegeek.com/boardgame/245352/unlock-secret-adventures-noside-story,1.0,6.0,2.53,['Vincent Goyat'],"['Card Game', 'Exploration', 'Puzzle', 'Real-time']","['Cooperative Game', 'Storytelling']",[],[]
1941,Sea of Clouds,6.141,https://boardgamegeek.com/boardgame/189052/sea-clouds,2.0,4.0,1.77,['Théo Rivière'],"['Card Game', 'Pirates']","['Card Drafting', 'Push Your Luck', 'Set Collection']",[],[]
1942,The Thing: Infection at Outpost 31,6.14,https://boardgamegeek.com/boardgame/226634/thing-infection-outpost-31,4.0,8.0,2.34,['Joe Van Wetering'],"['Bluffing', 'Deduction', 'Horror', 'Movies / TV / Radio theme', 'Science Fiction', 'Spies/Secret Agents']","['Cooperative Game', 'Dice Rolling', 'Hand Management', 'Role Playing', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers', 'Voting']",[],[]
1943,Cathedral,6.14,https://boardgamegeek.com/boardgame/7/cathedral,2.0,2.0,1.79,['Robert P. Moore'],['Abstract Strategy'],"['Enclosure', 'Pattern Building', 'Pattern Recognition', 'Tile Placement']",[],[]
1944,Word on the Street,6.14,https://boardgamegeek.com/boardgame/40990/word-street,2.0,1.0,1.38,['Jack Degnan'],"['Party Game', 'Word Game']",['Team-Based Game'],[],['Word on the Street Junior (2010)']
1945,Waggle Dance,6.14,https://boardgamegeek.com/boardgame/158572/waggle-dance,2.0,4.0,2.31,['Mike Nudd'],"['Animals', 'Dice', 'Environmental']","['Area Majority / Influence', 'Dice Rolling', 'Set Collection', 'Worker Placement', 'Worker Placement with Dice Workers']",[],['Waggle Dance (2021)']
1946,EastFront: The War in Russia 1941-45 – Second Edition,6.139,https://boardgamegeek.com/boardgame/22143/eastfront-war-russia-1941-45-second-edition,2.0,2.0,3.47,"['Craig Besinque', 'Tom Dalgliesh']","['Wargame', 'World War II']","['Action Points', 'Dice Rolling', 'Hexagon Grid', 'Secret Unit Deployment', 'Simulation']",['EastFront (1991)'],[]
1947,Hera and Zeus,6.139,https://boardgamegeek.com/boardgame/638/hera-and-zeus,2.0,2.0,2.05,['Richard Borg'],"['Bluffing', 'Card Game', 'Mythology']","['Action Points', 'Hand Management', 'Secret Unit Deployment']",[],['Thunder & Lightning (2016)']
1948,Codenames: Disney – Family Edition,6.139,https://boardgamegeek.com/boardgame/220775/codenames-disney-family-edition,2.0,8.0,1.28,['Vlaada Chvátil'],"['Card Game', 'Deduction', 'Movies / TV / Radio theme', 'Party Game', 'Word Game']","['Communication Limits', 'Memory', 'Pattern Recognition', 'Push Your Luck', 'Team-Based Game']",[],[]
1949,Skat,6.139,https://boardgamegeek.com/boardgame/6819/skat,3.0,3.0,3.08,['(Uncredited)'],['Card Game'],"['Auction/Bidding', 'Auction: Once Around', 'Team-Based Game', 'Trick-taking']",[],[]
1950,Piece o' Cake,6.139,https://boardgamegeek.com/boardgame/37371/piece-o-cake,2.0,5.0,1.35,['Jeffrey D. Allers'],[],"['Area Majority / Influence', 'I Cut, You Choose', 'Set Collection']",[],"['New York Slice (2017)', 'Pizzeria (2020)']"
1951,Guildhall: Job Faire,6.138,https://boardgamegeek.com/boardgame/142121/guildhall-job-faire,2.0,4.0,2.18,['Hope S. Hwang'],"['Card Game', 'Medieval']","['Hand Management', 'Set Collection', 'Take That']",[],"['Advanced Guildhall Fantasy: The Gathering (2017)', 'Guildhall Fantasy: Alliance (2016)', 'Guildhall Fantasy: Coalition (2016)', 'Guildhall Fantasy: Fellowship (2016)', 'Guildhall: Legend of the Five Rings (2014)']"
1952,Red November,6.138,https://boardgamegeek.com/boardgame/36946/red-november,1.0,8.0,2.07,"['Bruno Faidutti', 'Jef Gontier']","['Fantasy', 'Humor', 'Nautical']","['Area Movement', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Time Track']",[],[]
1953,PÜNCT,6.138,https://boardgamegeek.com/boardgame/19764/punct,2.0,2.0,2.73,['Kris Burm'],['Abstract Strategy'],"['Grid Movement', 'Network and Route Building']",[],[]
1954,Comanchería: The Rise and Fall of the Comanche Empire,6.138,https://boardgamegeek.com/boardgame/159692/comancheria-rise-and-fall-comanche-empire,1.0,1.0,4.11,['Joel Toppen'],"['American Indian Wars', 'American West', 'Post-Napoleonic', 'Wargame']","['Card Drafting', 'Chit-Pull System', 'Dice Rolling', 'Point to Point Movement', 'Simulation', 'Solo / Solitaire Game']",[],[]
1955,Lost Valley,6.137,https://boardgamegeek.com/boardgame/9341/lost-valley,3.0,4.0,2.62,"['Tobias Goslar', 'Roland Goslar']","['American West', 'Exploration']","['Modular Board', 'Point to Point Movement', 'Tile Placement']",[],['Lost Valley: The Yukon Goldrush 1896 (2014)']
1956,Key Harvest,6.136,https://boardgamegeek.com/boardgame/29839/key-harvest,2.0,4.0,3.03,['Richard Breese'],"['Farming', 'Medieval', 'Territory Building']","['Auction/Bidding', 'Set Collection', 'Tile Placement', 'Worker Placement']",[],[]
1957,Wiz-War,6.136,https://boardgamegeek.com/boardgame/589/wiz-war,2.0,4.0,1.98,['Tom Jolly'],"['Fantasy', 'Fighting']","['Modular Board', 'Player Elimination']",[],"['Wiz-War (9th Edition) (2021)', 'Wiz-War (Eighth Edition) (2012)']"
1958,Isle of Trains,6.136,https://boardgamegeek.com/boardgame/154906/isle-trains,2.0,4.0,2.0,"['Seth Jaffee', 'Dan Keltner']","['Card Game', 'Trains', 'Transportation']","['Contracts', 'Hand Management', 'Set Collection']",[],[]
1959,Fate of the Elder Gods,6.136,https://boardgamegeek.com/boardgame/198609/fate-elder-gods,1.0,4.0,2.88,"['Christopher Kirkman', 'Richard Launius', 'Darrell Louder']","['Adventure', 'Dice', 'Horror', 'Miniatures', 'Mythology']","['Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Hand Management', 'Solo / Solitaire Game', 'Take That', 'Variable Player Powers', 'Worker Placement']",[],[]
1960,Moonrakers,6.135,https://boardgamegeek.com/boardgame/270239/moonrakers,1.0,5.0,2.46,"['Austin Harrison', 'Max Anderson', 'Zac Dixon']",['Science Fiction'],"['Action Points', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management', 'Negotiation', 'Team-Based Game', 'Trading']",[],[]
1961,Caesar & Cleopatra,6.134,https://boardgamegeek.com/boardgame/132/caesar-cleopatra,2.0,2.0,1.91,['Wolfgang Lüdtke'],"['Ancient', 'Bluffing', 'Card Game']","['Area Majority / Influence', 'Hand Management', 'Set Collection']",[],[]
1962,Money!,6.134,https://boardgamegeek.com/boardgame/125/money,3.0,5.0,1.55,['Reiner Knizia'],['Card Game'],"['Auction/Bidding', 'Set Collection', 'Simultaneous Action Selection']",[],[]
1963,Orbis,6.133,https://boardgamegeek.com/boardgame/255507/orbis,2.0,4.0,2.15,['Tim Armstrong (II)'],"['Civilization', 'Mythology', 'Territory Building']","['Auction: Dutch', 'Card Drafting', 'Tile Placement']",[],[]
1964,Würfel Bohnanza,6.133,https://boardgamegeek.com/boardgame/111148/wurfel-bohnanza,2.0,5.0,1.31,['Uwe Rosenberg'],"['Dice', 'Farming']","['Dice Rolling', 'Set Collection']",[],[]
1965,R-Eco,6.133,https://boardgamegeek.com/boardgame/15290/r-eco,2.0,5.0,1.48,['Susumu Kawasaki'],"['Card Game', 'Environmental']","['Card Drafting', 'Hand Management']",[],[]
1966,Heimlich & Co.,6.132,https://boardgamegeek.com/boardgame/382/heimlich-co,2.0,7.0,1.49,['Wolfgang Kramer'],"['Bluffing', 'Spies/Secret Agents']",['Roll / Spin and Move'],[],[]
1967,My First Stone Age,6.131,https://boardgamegeek.com/boardgame/191004/my-first-stone-age,2.0,4.0,1.14,['Marco Teubner'],"[""Children's Game"", 'Memory', 'Prehistoric']","['Memory', 'Set Collection']",['Stone Age (2008)'],[]
1968,O Zoo le Mio,6.13,https://boardgamegeek.com/boardgame/4218/o-zoo-le-mio,2.0,4.0,2.01,['Corné van Moorsel'],['Animals'],"['Auction/Bidding', 'Auction: Sealed Bid', 'Enclosure', 'Set Collection', 'Tile Placement']",[],['Zooronga (2018)']
1969,Wreck Raiders,6.13,https://boardgamegeek.com/boardgame/252877/wreck-raiders,1.0,5.0,2.52,"['Tim W. K. Brown', 'Josh Cappel']",['Nautical'],"['Dice Rolling', 'Set Collection', 'Worker Placement']",[],[]
1970,Taboo,6.13,https://boardgamegeek.com/boardgame/1111/taboo,4.0,1.0,1.22,['Brian Hersch'],"['Party Game', 'Real-time', 'Word Game']","['Communication Limits', 'Team-Based Game']",[],"['Electronic Taboo (2001)', ""Taboo Buzz'd (2013)"", 'Taboo Junior (2001)', 'Taboo Speak Out (2019)', 'Taboo: Kids vs. Parents (2018)']"
1971,Basari,6.13,https://boardgamegeek.com/boardgame/14/basari,3.0,4.0,1.86,['Reinhard Staupe'],['Negotiation'],"['Roll / Spin and Move', 'Set Collection', 'Simultaneous Action Selection']",[],"['Basari: Das Kartenspiel (2014)', 'Edel, Stein & Reich (2003)']"
1972,Nauticus,6.13,https://boardgamegeek.com/boardgame/144415/nauticus,2.0,4.0,2.99,"['Michael Kiesling', 'Wolfgang Kramer']","['Economic', 'Nautical', 'Transportation']","['Action Drafting', 'Modular Board', 'Set Collection', 'Tile Placement']",[],[]
1973,Revolution: The Dutch Revolt 1568-1648,6.13,https://boardgamegeek.com/boardgame/9215/revolution-dutch-revolt-1568-1648,2.0,5.0,4.27,['Francis Tresham'],"['Political', 'Renaissance', 'Wargame']","['Area Majority / Influence', 'Simulation', 'Variable Player Powers']",[],[]
1974,18CZ,6.13,https://boardgamegeek.com/boardgame/163841/18cz,2.0,6.0,4.24,"['Leonhard ""Lonny"" Orgler']","['Economic', 'Trains']","['Network and Route Building', 'Stock Holding', 'Tile Placement']",[],[]
1975,Relic Runners,6.13,https://boardgamegeek.com/boardgame/144270/relic-runners,2.0,5.0,2.11,['Matthew Dunstan'],['Exploration'],"['Network and Route Building', 'Pick-up and Deliver', 'Point to Point Movement', 'Set Collection', 'Variable Player Powers']",[],[]
1976,Perry Rhodan: The Cosmic League,6.129,https://boardgamegeek.com/boardgame/30367/perry-rhodan-cosmic-league,2.0,2.0,1.96,['Heinrich Glumpler'],"['Card Game', 'Economic', 'Science Fiction']","['Bias', 'Hand Management', 'Pick-up and Deliver', 'Roll / Spin and Move']",[],[]
